Date,RELIANCE,TCS,HINDUNILVR,INFY,HDFC,BHARTIARTL,ITC,ASIANPAINT,NESTLEIND,HCLTECH,MARUTI,LT,TITAN,BRITANNIA,BAJAJ-AUTO,EICHERMOT,DRREDDY,DMART,PIDILITIND,HDFCBANK,KOTAKBANK,ICICIBANK,AXISBANK
01-01-2017,532.428101,1140.699951,833.75,486.125,1222.349976,293.587524,242.699997,929.5,5929.850098,407.200012,5615.549805,927.299988,355.200012,1447.474976,2707.350098,2271.774902,3159.149902,616.900024,614.700012,596.825012,716.849976,234.681824,455.200012
08-01-2017,540.080566,1124.650024,827.950012,487.899994,1247.5,294.000702,249.649994,933.25,5899.299805,425.125,5699.5,959.166687,358.350006,1470,2708.550049,2279.35498,2979.75,637.849976,640.299988,616.25,727.75,243.681824,472.799988
15-01-2017,508.083862,1142.675049,860.450012,474.350006,1237.300049,294.322083,255.399994,967.200012,5899.799805,419.375,5668.950195,943.166687,360.700012,1539.150024,2701.050049,2278.915039,2947.399902,751.200012,626.900024,618.174988,723.049988,239.5,450.75
22-01-2017,507.737152,1178.900024,855.950012,471.075012,1373.699951,297.260254,257.399994,969.599976,5914.200195,422.100006,5915.899902,959.93335,372.799988,1551.474976,2854.100098,2348.264893,2994.550049,783.25,678.849976,645.950012,785.049988,247.27272,472.850006
29-01-2017,511.972015,1116.275024,849.75,468.049988,1397.449951,324.851501,273.049988,985.900024,6088.5,415.375,6115.450195,987.133362,379.75,1615.425049,2808.100098,2338.590088,3144.550049,743.200012,673.349976,655.525024,765.299988,255.954544,490.700012
05-02-2017,510.238434,1198.974976,850.900024,484.149994,1388.550049,328.294678,273.350006,993.049988,6178.200195,414.200012,6112.25,1001.299988,432,1619.675049,2800.800049,2401.304932,2976.050049,736.5,671.349976,651.799988,778.900024,256,488.899994
12-02-2017,532.7005,1203.949951,841.25,500.049988,1402.5,339.266907,268.149994,960.799988,6240.5,419.625,5989.75,985.333313,431.5,1623.875,2778.899902,2504.030029,2912.699951,808.900024,683.599976,688.525024,796.5,257.272736,489.100006
19-02-2017,585.822021,1240.900024,858.25,504.424988,1385.699951,336.282837,265.649994,1009,6381.850098,421.424988,6031,991.06665,432.950012,1613.5,2814.100098,2487.77002,2887.399902,751.799988,688.150024,697.150024,810.950012,258.636353,528.150024
26-02-2017,623.366089,1247.025024,877.150024,515.599976,1371.199951,327.009216,261.549988,1013.700012,6189.549805,426.450012,5887.75,980.233337,439.850006,1548.375,2832.800049,2308.929932,2871.100098,722.900024,675.5,688.5,809.5,250.863632,512.900024
05-03-2017,634.807678,1271.125,875.200012,510.924988,1373.800049,335.043274,263.450012,1030.25,6131.75,423.174988,5955.600098,994.400024,445.299988,1561.25,2864.550049,2335.655029,2715.850098,714.900024,683.799988,700.049988,828.900024,245.954544,515.900024
12-03-2017,644.243225,1262.875,902.549988,520.150024,1451.199951,318.470154,281.25,1079.449951,6222.100098,432.875,6192.600098,1035.033325,463.5,1623.775024,2912.5,2469.139893,2736.25,779.650024,701.900024,712.924988,848.25,255.090912,517.150024
19-03-2017,637.33374,1213.599976,900.200012,515.700012,1462.599976,312.63974,281,1064.25,6352.549805,436.524994,6004.649902,1034.133301,447.950012,1649.074951,2843,2435.014893,2628.350098,802.349976,688.25,712.174988,879.349976,249.77272,489.350006
26-03-2017,654.248352,1215.900024,911.75,511.125,1502.099976,321.408325,280.299988,1073.5,6680.649902,437.375,6015.700195,1049.93335,462.75,1687,2805.449951,2558.75,2632.350098,800.099976,699.150024,721.275024,872.200012,251.681824,490.799988
02-04-2017,696.696045,1214.525024,924.5,490.774994,1484.75,316.496094,272.649994,1082.949951,6619.700195,424.649994,6259.350098,1123.666626,485.399994,1678.724976,2830.449951,2580.685059,2661.350098,801.599976,708.200012,719.424988,873.099976,252.136368,504.200012
